name,contributor,star,hash,url
hadoop,592,14500,4c5cd7,https://github.com/apache/hadoop
elasticsearch,1932,68400,92be38,https://github.com/elastic/elasticsearch
flink,908,16764,261e72,https://github.com/apache/flink
lucene-solr,234,4400,b457c2,https://github.com/apache/lucene-solr
presto,734,15700,bb20eb,https://github.com/prestodb/presto
docx4j,37,1620,36c378,https://github.com/plutext/docx4j
hbase,463,5200,3bd542,https://github.com/apache/hbase
intellij-community,1035,16800,cdf2ef,https://github.com/JetBrains/intellij-community
weka,2,323,a22631,https://github.com/wekan/wekan
hazelcast,340,6000,a59ad4,https://github.com/hazelcast/hazelcast
spring-framework,544,43641,1984cf,https://github.com/spring-projects/spring-framework
hibernate-orm,420,4678,2c12ca,https://github.com/hibernate/hibernate-orm
eclipse.jdt.core,133,146,475591,https://github.com/eclipse-jdt/eclipse.jdt.core
guava,264,41775,e35207,https://github.com/google/guava
sonarqube,137,5937,6b806e,https://github.com/SonarSource/sonarqube
jclouds,231,384,7af4d8,https://github.com/apache/jclouds
wildfly,343,2593,f21f5d,https://github.com/wildfly/wildfly
netty,526,27185,662e0b,https://github.com/netty/netty
cassandra,447,8600,7cdad3,https://github.com/apache/cassandra
argouml,4,238,fcbe6c,https://github.com/argouml-tigris-org/argouml
jetty.project,159,3160,fc5dd8,https://github.com/eclipse/jetty.project
voldemort,65,2475,a7dbde,https://github.com/voldemort/voldemort
spring-boot,828,56378,199cea,https://github.com/spring-projects/spring-boot
wicket,83,570,e3f370,https://github.com/apache/wicket
ant,58,303,1ce1cc,https://github.com/apache/ant
jgit,140,983,855842,https://gerrit.googlesource.com/jgit
mongo-java-driver,151,2422,8ab109,https://github.com/mongodb/mongo-java-driver
pmd,229,3482,d115ca,https://github.com/pmd/pmd
xerces2-j,3,38,cf0c51,https://github.com/apache/xerces2-j
RxJava,278,44922,880eed,https://github.com/ReactiveX/RxJava
openmrs-core,371,1017,c5928a,https://github.com/openmrs/openmrs-core
javaparser,157,3771,8f25c4,https://github.com/javaparser/javaparser
hibernate-search,58,390,5b7780,https://github.com/hibernate/hibernate-search
titan,34,5135,ee226e,https://github.com/thinkaurelius/titan
facebook-android-sdk,124,6100,fb1b91,https://github.com/facebook/facebook-android-sdk
checkstyle,287,6115,164a75,https://github.com/checkstyle/checkstyle
commons-lang,160,2138,f69235,https://github.com/apache/commons-lang
lombok,114,10391,4fdcdd,https://github.com/projectlombok/lombok
atmosphere,111,3524,fadfb0,https://github.com/Atmosphere/atmosphere
jna,143,6655,b8443b,https://github.com/java-native-access/jna
Essentials,215,1086,d36d80,https://github.com/EssentialsX/Essentials
junit5,167,4691,be2aa2,https://github.com/junit-team/junit5
hector,71,648,a302e6,https://github.com/hector-client/hector
okhttp,236,40428,5224f3,https://github.com/square/okhttp
mockito,21,12043,77562,https://github.com/mockito/mockito
cucumber-jvm,226,2291,b57b92,https://github.com/cucumber/cucumber-jvm
commons-io,76,787,11f0ab,https://github.com/apache/commons-io
vraptor4,48,343,593ce9,https://github.com/caelum/vraptor4
junit4,151,8160,50a285,https://github.com/junit-team/junit4
tomcat,130,7803,21f0936,https://github.com/apache/tomcat
Activiti,212,10308,2be9568,https://github.com/Activiti/Activiti
dubbo,401,40960,e845fe4,https://github.com/apache/dubbo
Mindustry,385,23854,4abbd1a,https://github.com/Anuken/Mindustry
xpipe,11,10959,0d51381,https://github.com/xpipe-io/xpipe
guice,78,12589,5e17283,https://github.com/google/guice
skywalking,387,24269,b55fa2a,https://github.com/apache/skywalking
shenyu,379,8572,b87557b,https://github.com/apache/shenyu
gson,155,23704,259c477,https://github.com/google/gson
baritone,67,7763,89b0fd7,https://github.com/cabaletta/baritone
dbeaver,336,43470,8cf480b,https://github.com/dbeaver/dbeaver
feign,264,9657,6e76678,https://github.com/OpenFeign/feign
error-prone,226,6964,356f56e,https://github.com/google/error-prone
rocketmq,334,21747,ed410f3,https://github.com/apache/rocketmq
Signal-Server,48,9715,9ec66da,https://github.com/signalapp/Signal-Server
jedis,212,12041,f82f221,https://github.com/redis/jedis
hutool,300,29804,abbe514,https://github.com/chinabugotech/hutool
incubator-seata,340,25625,3b40167,https://github.com/apache/incubator-seata
caffeine,62,16610,ae33c18,https://github.com/ben-manes/caffeine
async-http-client,177,6343,fb50dc2,https://github.com/AsyncHttpClient/async-http-client
pentaho-kettle,178,7994,682fcc6,https://github.com/pentaho/pentaho-kettle
seatunnel,379,8475,6a847b8,https://github.com/apache/seatunnel
flyway,117,8745,4ad0ab2,https://github.com/flyway/flyway
jOOQ,85,6375,d6a8ea0,https://github.com/jOOQ/jOOQ
wiremock,233,6774,67e332a,https://github.com/wiremock/wiremock
dropwizard,356,8545,0ef2873,https://github.com/dropwizard/dropwizard
byte-buddy,94,6493,95197df,https://github.com/raphw/byte-buddy
vert.x,242,14462,e45336e,https://github.com/eclipse-vertx/vert.x
mybatis-plus,188,16831,f99a894,https://github.com/baomidou/mybatis-plus
SmartTube,120,22576,ac647ac,https://github.com/yuliskov/SmartTube
MinecraftForge,371,7162,33d177f,https://github.com/MinecraftForge/MinecraftForge
Apktool,99,21978,c41a527,https://github.com/iBotPeaches/Apktool
visualvm,10,3031,8c25113,https://github.com/oracle/visualvm
nacos,383,31338,bc6566d,https://github.com/alibaba/nacos
pulsar,364,14603,0e24f7a,https://github.com/apache/pulsar
plantuml,91,11472,a23aa25,https://github.com/plantuml/plantuml
HMCL,87,7585,6e05b5e,https://github.com/HMCL-dev/HMCL
metrics,205,7846,28bc4a4,https://github.com/dropwizard/metrics
redisson,183,23776,f8098ac,https://github.com/redisson/redisson
iceberg,409,7337,a25f993,https://github.com/apache/iceberg
zxing,124,33294,2a779a9,https://github.com/zxing/zxing
grpc-java,360,11719,b88536a,https://github.com/grpc/grpc-java
jib,120,13907,fb6a9a1,https://github.com/GoogleContainerTools/jib
spring-cloud-alibaba,191,28447,113273b,https://github.com/alibaba/spring-cloud-alibaba
ExoPlayer,246,21816,dd430f7,https://github.com/google/ExoPlayer
AntennaPod,263,6916,49e6da6,https://github.com/AntennaPod/AntennaPod
mage,317,2094,9de731b, https://github.com/magefree/mage
Paper,332,10991,a252581,https://github.com/PaperMC/Paper
shardingsphere-elasticjob,112,8185,a5cfb4a,https://github.com/apache/shardingsphere-elasticjob
